city,address,status
KAMLOOPS,1380 HILLSIDE DRIVE,Licensed
KAMLOOPS,1250 ROGERS WAY,Licensed
KAMLOOPS,1 - 1800 TRANQUILLE ROAD,Licensed
KAMLOOPS,339 ST. PAUL STREET,Licensed
KAMLOOPS,405 VICTORIA ST,Licensed
KASLO,343 FRONT ST,Licensed
KELOWNA,1789 K.L.O. RD,Relocation Application
KELOWNA,C3-525 HWY 97 S,Relocation Application
KELOWNA,106  2395 GORDON DRIVE,Licensed
KELOWNA,2  4600 LAKESHORE DRIVE,Licensed
KELOWNA,"UNIT D220, 2339 HIGHWAY 97 NORTH",Licensed
KELOWNA,235 QUEENSWAY AVENUE,Licensed
KELOWNA,500 COOK ROAD,Licensed
KELOWNA,1973 HARVEY AVENUE,Licensed
KELOWNA,100 437 GLENMORE ROAD,Licensed
KELOWNA,1992 DILWORTH DRIVE,Licensed
KELOWNA,3929 LAKESHORE RD,Licensed
KELOWNA,348 BERNARD AVE,Licensed
KELOWNA,2789 K L O  RD,Licensed
KELOWNA,2170 HARVEY AVE,Licensed
KELOWNA,1171 HARVEY AVE,Licensed
KELOWNA,663 FINNS ROAD,Licensed
KELOWNA,PAD D - 1500 BANKS ROAD,Licensed
KELOWNA,19-590 HWY 33,Licensed
KELOWNA,3195 LAKESHORE ROAD,Licensed
KELOWNA,200 - 210 HIGHWAY 33 WEST,Licensed
KELOWNA,1175 ELLIS ST,Licensed
KELOWNA,1978 KIRSCHNER RD,Licensed
KELOWNA,1310 WATER STREET,Licensed
KEREMEOS,715 7TH STREET ,Licensed
KIMBERLEY,447  304TH ST,Licensed
KIMBERLEY,400 ROSS ST.,Licensed
KITIMAT,178 NECHAKO CENTER,Licensed
KITIMAT,506 ENTERPRISE AVE,Licensed
KITIMAT,225  276 CITY CENTRE,Licensed
KITIMAT,874 TSIMSHIAN BLVD,Licensed
LADYSMITH,1010  1ST AVE,Licensed
LADYSMITH,1680 TIMBERLANDS RD,Licensed
LAKE COUNTRY,9882 HWY 97,Licensed
LAKE COUNTRY,72  9522 MAIN STREET,Licensed
LAKE COWICHAN,56 NORTH  SHORE RD,Licensed
LANGFORD,2792 PEATT RD,Relocation Application
LANGFORD,104 2778 PEATT ROAD,Licensed
LANGFORD,2668 SOOKE RD,Licensed
LANGFORD,2903 SOOKE LAKE ROAD,Licensed
LANGFORD,2835 BRYN MAUR ROAD,Licensed
LANGLEY,27 - 20821 FRASER HIGHWAY,Relocation Application
LANGLEY,CRU-3 GLOVER RD & LANGLEY BY-PASS,Relocation Application
LANGLEY,4143  208 ST,Licensed
LANGLEY,#101 - 20151 FRASER HIGHWAY ,Licensed
LANGLEY,2364 200TH ST,Licensed
LANGLEY,19935 96TH AVE,Licensed
LANGLEY,112 & 113 20620 56TH AVENUE,Licensed
LANGLEY,100-19665 WILLOWBROOK DRIVE,Licensed
LANGLEY,5  20811 FRASER HWY,Licensed
LANGLEY,19988 84 AVE,Licensed
LANGLEY,20470 88 AVE,Licensed
LANGLEY,101 - 22071  48A AVE,Licensed
LANGLEY,8855 - 202ND STREET,Licensed
LANTZVILLE,7197 LANTZVILLE RD,Licensed
LILLOOET,667 MAIN ST,Licensed
LILLOOET,1237 MAIN ST,Licensed
LOGAN LAKE,111 CHARTRAND AVENUE,Licensed
LOGAN LAKE,264 POPLAR DR,Licensed
LOWER NICOLA,2319 ABERDEEN ROAD,Licensed
LUMBY,2004 SHUSWAP AVE,Licensed
LUMBY,1643 VERNON ST,Licensed
MACKENZIE,403 MACKENZIE BLVD,Licensed
MADEIRA PARK,12671 SUNSHINE COAST HIGHWAY,Licensed
MALAKWA,4260 OXBOW FRONTAGE ROAD,Licensed
MAPLE RIDGE,11232 DARTFORD ST,Licensed
MAPLE RIDGE,21755 LOUGHEED HWY,Licensed
MAPLE RIDGE,9610 287 ST,Licensed
MAPLE RIDGE,22222 LOUGHEED HWY,Licensed
MAPLE RIDGE,21525 DEWDNEY TRUNK RD,Licensed
MAPLE RIDGE,160- 20398 DEWDNEY TRUNK RD,Licensed
MAPLE RIDGE,22648 DEWDNEY TRUNK RD,Licensed
MAPLE RIDGE,23988 DEWDNEY TRUNK ROAD,Licensed
MAPLE RIDGE,12968 232 STREET,Licensed
MAPLE RIDGE,20690 LOUGHEED HWY,Licensed
MASSET,1993 COLLISON AVE,Licensed
MAYNE ISLAND,494 ARBUTUS DRIVE,Licensed
MERRITT,3623 DEWOLF WAY,Licensed
MERRITT,QUILCHENA & VOGHT STREETS,Licensed
MERRITT,2350 VOGHT ST,Licensed
MILL BAY,#108 & #109 2690 MILL BAY ROAD,Licensed
MISSION,A16- 7871 STAVE LAKE ST,Licensed
MISSION,740  32555 LONDON AVENUE,Licensed
MISSION,7160 OLIVER ST,Licensed
MISSION,32516 14TH AVE,Licensed
MISSION,33395 FIRST AVENUE,Licensed
NAKUSP,515 BROADWAY ST,Licensed
NANAIMO,1850 DUFFERIN CRES,Relocation Application
NANAIMO,5775 TURNER RD,Licensed
NANAIMO,1724 STEWART AVE,Licensed
NANAIMO,101-4750 HAMMOND BAY ROAD,Licensed
NANAIMO,2954 TRANS CANADA HIGHWAY,Licensed
NANAIMO,6201 DOUMONT ROAD,Licensed
NANAIMO,1604 CEDAR ROAD,Licensed
NANAIMO,129  4750 RUTHERFORD ROAD,Licensed
NANAIMO,1431 BOWEN ROAD,Licensed
NANAIMO,3296 ISLAND HIGHWAY NORTH,Licensed
NANAIMO,14  2220 BOWEN ROAD,Licensed
NANAIMO,"BUILDING D, 6950 OLD ISLAND HIGHWAY",Licensed
NANAIMO,3956 VICTORIA AVE,Licensed
NANAIMO,1 TERMINAL AVE,Licensed
NANAIMO,514 HALIBURTON ST,Licensed
NANAIMO,278 SELBY ST,Licensed
NANAIMO,UNIT #3  508 8TH ST,Licensed
NANAIMO,14 - 1588 BOUNDARY CRES,Licensed
NANAIMO,2211 JINGLE POT ROAD,Licensed
NANAIMO,#1 - 6404 METRAL DRIVE,Licensed
NANAIMO,1866 CEDAR RD,Licensed
NANAIMO,10  1273 ISLAND HWY SOUTH,Licensed
NANAIMO,# 400 - 530  5TH STREET,Licensed
NANOOSE BAY,2414 ISLAND HIGHWAY EAST,Licensed
NANOOSE BAY,3521 DOLPHIN DRIVE,Licensed
NELSON,712 NELSON AVE,Licensed
NELSON,616 VERNON ST,Licensed
NELSON,422 VERNON STREET,Licensed
NELSON,157 - 1121 LAKESIDE DR,Licensed
NEW DENVER,706 UNION STREET,Licensed
NEW HAZELTON,4545 10TH AVENUE,Licensed
NEW WESTMINSTER,104 -  810 QUAYSIDE DRIVE,Licensed
NEW WESTMINSTER,411 COLUMBIA ST,Licensed
NEW WESTMINSTER,48 EIGHTH STREET,Licensed
NEW WESTMINSTER,115  12TH ST,Licensed
NEW WESTMINSTER,525 7TH STREET,Licensed
NEW WESTMINSTER,140 6TH STREET,Licensed
NEW WESTMINSTER,250 COLUMBIA ST,Licensed
NEW WESTMINSTER,T140 - 805 BOYD STREET,Licensed
NEW WESTMINSTER,320  6TH ST,Licensed
NEW WESTMINSTER,1110 EWEN AVE,Licensed
NEW WESTMINSTER,444 E COLUMBIA STREET,Licensed
NORTH VANCOUVER,1559 BARROW ST,Relocation Application
NORTH VANCOUVER,1515 BARROW ST,Licensed
NORTH VANCOUVER,D120  1133 MOUNT SEYMOUR RD,Licensed
NORTH VANCOUVER,1015 MARINE DRIVE,Licensed
NORTH VANCOUVER,700 LILLOOET RD,Licensed
NORTH VANCOUVER,135 PEMBERTON AVE,Licensed
NORTH VANCOUVER,2989 LONSDALE AVE,Licensed
NORTH VANCOUVER,3018 - 3020 EDGEMONT BLVD,Licensed
NORTH VANCOUVER,86 SEMISCH AVE,Licensed
NORTH VANCOUVER,1052 DEEP COVE RD,Licensed
NORTH VANCOUVER,715  333 BROOKSBANK AVENUE,Licensed
NORTH VANCOUVER,1262 LYNN VALLEY ROAD,Licensed
NORTH VANCOUVER,1887 MARINE DRIVE,Licensed
NORTH VANCOUVER,127 - 1433 LONSDALE AVE,Licensed
OAK BAY,118 - 2187 OAK BAY AVE,Licensed
OKANAGAN FALLS,1045 MAIN STREET,Licensed
OLIVER,36041 - 97TH ST,Licensed
OLIVER,170 - 34017  97TH ST,Licensed
OSOYOOS,6405 67TH STREET,Licensed
OSOYOOS,7603 SPARTAN DRIVE,Licensed
PARKSVILLE,240 DOGWOOD STREET,Licensed
PARKSVILLE,163 SOUTH ALBERNI HIGHWAY,Licensed
PARKSVILLE,UNIT 1 160 CORFIELD ST,Licensed
PARKSVILLE,491 EAST ISLAND HIGHWAY,Licensed
PEACHLAND,5790 BEACH AVE,Licensed
PEACHLAND,10 5500 CLEMENTS CRESENT,Licensed
PEMBERTON,7423 FRONTIER STREET,Licensed
PENDER ISLAND,5827 SCHOONER WAY,Licensed
PENTICTON,1196 FAIRVIEW ROAD,Relocation Application
PENTICTON,131 - 2111 MAIN STREET (RELO),Relocation Application
PENTICTON,102  1027 WESTMINSTER HWY WEST,Licensed
PENTICTON,163-164 2111 MAIN STREET,Licensed
PENTICTON,UNIT 110 - 251 GREEN AVENUE WEST,Licensed
PENTICTON,1173 GOVERNMENT ST,Licensed
PENTICTON,123 FRONT STREET,Licensed
PENTICTON,360 MARTIN ST,Licensed
PENTICTON,2460 SKAHA LAKE RD,Licensed
PENTICTON,3502 SKAHA LAKE ROAD,Licensed
PENTICTON,333 MARTIN ST.,Licensed
PITT MEADOWS,13 - 19040 LOUGHEED HWY,Licensed
PITT MEADOWS,19267 LOUGHEED HWY,Licensed
PITT MEADOWS,19167 FORD RD,Licensed
PORT ALBERNI,4940 CHERRY CREEK ROAD,Licensed
PORT ALBERNI,3835 REDFORD STREET,Licensed
PORT ALBERNI,10695 LAKESHORE RD,Licensed
PORT ALBERNI,5086 JOHNSTON ROAD,Licensed
PORT ALBERNI,4963 ANGUS ST.,Licensed
PORT ALBERNI,4277 STAMP AVE,Licensed
PORT ALBERNI,4850 BEAVER CREEK RD,Licensed
PORT ALBERNI,5251 ARGYLE PLACE,Licensed
PORT ALBERNI,5170 ARGYLE STREET,Licensed
PORT COQUITLAM,2089 LOUGHEED HWY,Licensed
PORT COQUITLAM,1864 ARGUE AVE,Licensed
PORT COQUITLAM,2342 ELGIN AVENUE,Licensed
PORT COQUITLAM,3255 COAST MERIDIAN ROAD,Licensed
PORT COQUITLAM,1760 KINGSWAY,Licensed
PORT HARDY,4030 BYNG RD,Licensed
PORT HARDY,6555 HARDY BAY ROAD,Licensed
PORT MCNEILL,1817 CAMPBELL WAY,Licensed
PORT MCNEILL,1703 BROUGHTON BLVD,Licensed
PORT MOODY,4 - 2929 ST. JOHNS ST,Licensed
PORT MOODY,3224 ST  JOHN'S ST,Licensed
PORT MOODY,2414 ST. JOHN'S STREET,Licensed
PORT MOODY,215 A NEWPORT DRIVE,Licensed
PORT RENFREW,PARKINSON ROAD,Licensed
POUCE COUPE,4804 51ST STREET,Licensed
POWELL RIVER,101 - 7010 DUNCAN STREET,Licensed
POWELL RIVER,4675 ONTARIO AVE.,Licensed
POWELL RIVER,6251 YEW STREET,Licensed
POWELL RIVER,7074 WESTMINSTER ST,Licensed
POWELL RIVER,5987 LUND STREET,Licensed
POWELL RIVER,4463 MARINE AVENUE,Licensed
POWELL RIVER,5728 MANSON AVE,Licensed
PRINCE GEORGE,3050 BOEING ROAD,Relocation Application
PRINCE GEORGE,1512 12TH AVE,Relocation Application
PRINCE GEORGE,4038 COWART RD,Relocation Application
PRINCE GEORGE,770 BRUNSWICK STREET,Relocation Application
PRINCE GEORGE,444 GEORGE ST,Relocation Application
PRINCE GEORGE,1970 OSPIKA BOULEVARD,Licensed
PRINCE GEORGE,6055 MONTEREY ROAD,Licensed
PRINCE GEORGE,118  4488 HWY 16 WEST,Licensed
PRINCE GEORGE,460 OSPIKA BOULEVARD,Licensed
PRINCE GEORGE,3244  10TH AVE,Licensed
PRINCE GEORGE,1617 VICTORIA STREET,Licensed
PRINCE GEORGE,6475 JOHN HART HWY,Licensed
PRINCE GEORGE,4327 NORDIC DRIVE,Licensed
PRINCE GEORGE,100 TABOR BLVD S,Licensed
PRINCE GEORGE,4182  15TH AVE,Licensed
PRINCE GEORGE,2324  2150 FERRY AVE,Licensed
PRINCE GEORGE,5787 ALBERT PLACE,Licensed
PRINCE GEORGE,100 - 3328  15TH AVE,Licensed
PRINCE GEORGE,2280 HART HWY,Licensed
PRINCE GEORGE,2595 QUEENSWAY ST,Licensed
PRINCE GEORGE,487 GEORGE ST,Licensed
PRINCE GEORGE,6957 GISCOME ROAD,Licensed
PRINCE GEORGE,1724 STRATHCONA AVE,Licensed
PRINCE GEORGE,433 CARNEY ST,Licensed
PRINCE GEORGE,9912 SINTICH ROAD,Licensed
PRINCE GEORGE,112 - 6333 SOUTHRIDGE AVE,Licensed
PRINCE RUPERT,725 3RD AVE W,Licensed
PRINCE RUPERT,1125 PARK AVE,Licensed
PRINCE RUPERT,2ND AVE & 6TH ST,Licensed
PRINCE RUPERT,5 COW BAY ROAD,Licensed
PRINCE RUPERT,1352  11TH AVE EAST,Licensed
PRINCETON,199 HIGHWAY 3,Licensed
QUALICUM BEACH,6120 ISLAND HWY W,Relocation Application
QUALICUM BEACH,6120 ISLAND HWY W,Licensed
QUALICUM BEACH,3109 WEST ISLAND HIGHWAY,Licensed
QUALICUM BEACH,532 MEMORIAL AVE,Licensed
QUEEN CHARLOTTE CITY,2600 3RD AVE,Licensed
QUESNEL,10  155 MALCOLM DRIVE,Licensed
QUESNEL,2901 PINNACLES ROAD,Licensed
QUESNEL,308 MCLEAN STREET,Licensed
QUESNEL,254 FRONT ST,Licensed
QUESNEL,1262 MAPLE HEIGHTS RD,Licensed
QUESNEL,940 CHEW ROAD,Licensed
QUESNEL,2330 HYDRAULIC RD,Licensed
RADIUM HOT SPRINGS,7493 MAIN STREET,Licensed
RADIUM HOT SPRINGS,7538 MAIN ST. E,Licensed
REVELSTOKE,1925 LAFORME BLVD,Licensed
REVELSTOKE,2108 BIG EDDY ROAD,Licensed
REVELSTOKE,112 1ST ST  E,Licensed
REVELSTOKE,110 BOYLE AVENUE,Licensed
RICHMOND,7211 WESTMINSTER HIGHWAY,Licensed
RICHMOND,10 - 9371 NO 5 ROAD,Licensed
RICHMOND,8368 ALEXANDRA ROAD,Licensed
RICHMOND,8088 PARK ROAD,Licensed
RICHMOND,105/110-3671 WESTMINSTER HWY,Licensed
RICHMOND,2175 - 21000 WESTMINSTER HWY,Licensed
RICHMOND,3031 NO. 3. ROAD,Licensed
RICHMOND,400 - 9100 BLUNDELL ROAD,Licensed
RICHMOND,7551 WESTMINSTER HWY,Licensed
RICHMOND,12111 3RD AVE,Licensed
RICHMOND,1103  3211 GRANT MCCONACHIE WAY,Licensed
RICHMOND,200 - 10111 NO  3 RD,Licensed
RICHMOND,UNIT 120 - 8180 NUMBER 2 ROAD ,Licensed
RICHMOND,5031 STEVESTON HIGHWAY,Licensed
RICHMOND,112 - 3800 BAYVIEW ST,Licensed
RICHMOND,868  5300 NO. 3 ROAD,Licensed
RICHMOND,180 - 3031 BECKMAN PLACE,Licensed
ROSSLAND,1938 COLUMBIA AVENUE,Relocation Application
ROSSLAND,2003 2ND AVENUE,Licensed
SAANICH,UNIT 3  3631 DOUGLAS ST,Licensed
SAANICH,3366 DOUGLAS ST,Licensed
SAANICH,4  3960 SHELBOURNE STREET,Licensed
SAANICH,4025 BORDEN ST,Licensed
SAANICH,4291 GLANFORD AVE,Licensed
SAANICH,166  3170 TILLICUM ROAD,Licensed
SAANICH,3837 CADBORO BAY ROAD,Licensed
SAANICH,104 3510 BLANSHARD STREET,Licensed
SAANICH,4468 WEST SAANICH ROAD,Licensed
SAANICH,101  1660 MACKENZIE AVE,Licensed
SAANICH,3810 SHELBOURNE ST,Licensed
SAANICH,603-3991 QUADRA AVE,Licensed
SAANICHTON,2476 MOUNT NEWTON X RD,Licensed
SALMO,105 4TH STREET,Licensed
SALMO,115 4TH STREET,Licensed
SALMON ARM,112  1151  10TH AVE SW,Licensed
