STORE #,NAME,ADDRESS,CITY,POSTAL CODE,PHONE,FAX
109,Aldergrove,#200 - 26310 Fraser Hwy,Aldergrove,V4W 2Z7,604-856-7408,604-856-2043
110,Ocean Park,12881 - 16th Ave,Surrey,V4A 1N5,604-531-7711,604-531-8692
111,Commercial Drive,1520 Commercial Dr,Vancouver,V5L 3Y2,604-660-9088,604-660-9732
112,Cardero,1655 Davie St,Vancouver,V6G 1W1,604-660-4570,604-681-8294
113,"Collingwood-
Kingsway",3436 Kingsway,Vancouver,V5R 5L4,604-660-5484,604-435-7413
114,Prince George Hart,3825 West Austin Rd,Prince George,V2K 2H7,250-962-6364,250-962-8267
115,Port McNeill,PO Box 490 1705 Campbell Way,Port McNeill,V0N 2R0,250-956-4142,250-956-2029
117,Broadway & Maple,2555 Maple St. ,Vancouver,V6J 1Z4,604-660-1703,604-734-0767
118,Tofino,PO Box 370 328 Neill St,Tofino,V0R 2Z0,250-725-3722,250-725-2137
120,Richmond Ironwood,#3170-11666 Steveston Hwy,Richmond,V7A 5J3,604-664-0701,604-664-0719
122,Whalley,#101 - 10761 King George Blvd,Surrey,V3T 2X6,604-581-0511,604-581-9676
123,Kingsgate Mall,370 E Broadway,Vancouver,V5T 4G5,604-660-6675,604-872-6895
124,Gorge & Tillicum,2955 Tillicum Rd,Victoria,V9A 2A6,250-387-1600,250-388-4256
125,Westshore **,Unit #600 - 2945 Jacklin Rd.,Langford,V9B 5E3,250-391-2811,250-391-2809
127,Fort Langley,PO Box 629 9110 Glover Rd,Fort Langley,V1M 2R9,604-888-5711,604-888-9363
128,Port Alice,PO Box 160 1071 Marine Drive,Port Alice,V0N 2N0,250-284-3436,250-284-3909
129,Alberni & Bute,768 Bute St.,Vancouver,V6E 4H6,604-660-4572,604-689-5975
130,Penticton Plaza,#405 - 1301 Main St,Penticton,V2A 5E9,250-492-1319,250-492-1375
131,Elkford,PO Box 400 814 Michel Rd,Elkford,V0B 1H0,250-865-2466,250-865-7230
133,Dollarton Village,411 North Dollarton Hwy,North Vancouver,V7G 1M9,604-929-2112,604-929-9417
134,Gabriola Island,548 North Road,Gabriola Island,V0R 1X0,250-247-0271,250-247-0291
135,Vernon,"Unit 245A, Village Green Mall 4900 27th Street",Vernon,V1T 7G7,250-503-3610,250-503-3612
136,Arbutus,#158 - 4255 Arbutus St,Vancouver,V6J 4R1,604-660-1704,604-734-7953
138,Barriere,PO Box 390 4639 Barriere Town Rd,Barriere,V0E 1E0,250-672-9755,250-672-9351
139,Logan Lake,PO Box 340 #10 - 150 Opal Dr,Logan Lake,V0K 1W0,250-523-6712,250-523-9539
140,Cedar Hill,3611 Shelbourne St,Victoria,V8P 4H1,250-952-4328,250-477-9384
143,Kelowna Westbank,#27 - 2475 Dobbin Rd,Westbank,V4T 2E9,250-768-7394,250-768-9851
145,Scottsdale,7017 - 120th St,Delta,V4E 2A9,604-591-3433,604-591-7849
147,Kamloops Westsyde,#19 - 3435 Westsyde Rd,Kamloops,V2B 7H1,250-579-9033,250-579-8953
148,Kelowna Mission Park,#35 - 3155 Lakeshore Rd,Kelowna,V1W 3S9,250-861-7260,250-861-7225
149,Abbotsford,#40 - 32500 South Fraser Way,Abbotsford,V2T 4W1,604-870-5919,604-870-5481
150,James Bay,#101 - 225 Menzies Street,Victoria,V8V 2G6,250-953-3996,250-953-3998
152,Capilano Mall,#24 - 935 Marine Dr,North Vancouver,V7P 1S3,604-981-0030,604-986-8724
153,Como Lake,1972 Como Lake Rd,Coquitlam,V3J 3R3,604-931-6612,604-931-3140
154,Pr. George College Hts,5242 Domano Blvd,Prince George,V2N 4A1,250-964-4333,250-964-6920
155,Pender Island,"Box 106, Driftwood Centre Mall Bedwell Harbour Rd.",Pender Island,V0N 2M0,250-629-3413,250-629-3027
157,Parksville North,#23 - 826 Island Hwy,Parksville,V9P 2B7,250-248-3724,250-248-4301
158,Langley,6435 - 201 Street,Langley,V2Y 2X4,604-532-4911,604-532-4918
160,39th & Cambie,5555 Cambie St,Vancouver,V5Z 3A3,604-660-9463,604-664-0878
161,Blanshard Square,787 Hillside Ave,Victoria,V8T 1Z5,250-356-2915,250-361-1538
163,Westwood Centre,#100 - 2748 Lougheed Hwy,Port Coquitlam,V3B 6P2,604-927_2681,604-927-2671
165,Meadowtown,Unit 810 - 19800 Lougheed Hwy,Pitt Meadows,V3Y 2W1,604-460-2601,604-460-2600
166,Winfield,#30_10051 Hwy 97,Winfield,V4V 1P6 ,250-766-4044,250-766-5293
167,Kelowna Orchard Park,#109 - 1835 Dilworth Dr,Kelowna,V1Y 9T1,250-861-7337,250-861-7568
169,Tumbler Ridge,PO Box 650 225 Main St,Tumbler Ridge,V0C 2W0,250-242-3366,250-242-5827
170,Sardis,Unit A - 7544 Vedder Rd,Chilliwack,V2R 4E7,604-858-9609,604-858-5664
172,Kings Cross,Unit 520 - 7488 King George Blvd,Surrey,V3W 0H9,604-501-3140,604-501-3159
173,Mill Bay,#270 - 2720 Mill Bay Rd,Mill Bay,V0R 2P1,250-743-2161,250-743-7829
174,Prince George Pine Centre,3173 Massey Drive,Prince George,V2N 2S9,250-561-5608,250-561-5609
175,Caulfield,#195 - 5335 Headland Dr,West Vancouver,V7W 3C6,604-922-8201,604-922-4952
177,8th & Cambie,2395 Cambie St,Vancouver,V5Z 2T9,604-660-0158,604-874-4931
178,Fairfield,1520 Fairfield Rd,Victoria,V8S 1G1,250-952-4159,250-592-3921
179,Whistler Marketplace,#101 - 4360 Lorimer Rd,Whistler,V0N 1B0,604-932-7251,604-932-8978
181,Broadmead Village,PO Box 24 #370 Broadmead Village 777 Royal Oak Dr,Victoria,V8X 4V1,250-744-1622,250-744-1633
182,Fleetwood,8904 - 152nd St,Surrey,V3R 4E4,604-582-0008,604-582-4057
183,Peninsula Village,#280 - 15355 - 24th Ave,Surrey,V4A 2H9,604-535-8259,604-535-0942
185,Willow Point,#11-2116 Island Hwy S,Campbell River,V9W 1C1,250-923-8637,250-923-7684
186,Walnut Grove,#501 - 8840 210th St,Langley,V1M 2Y2,604-513-4640,604-513-4642
187,Brentwood,#27B - 4567 Lougheed Hwy,Burnaby,V5C 3Z6,604-660-0818,604-660-0816
188,Nanaimo Longwood,#3-5765 Turner Rd,Nanaimo,V9T 6L8,250-729-2647,250-729-2641
189,Abbotsford Village,#117-2070 Sumas Way,Abbotsford,V2S 2C7,604-870-5429,604-870-5430
191,Yaletown,1108 Pacific Boulevard,Vancouver,V6Z 2X7,604-664-0118,604-664-0122
192,UBC Marketplace,Unit 102A-2158 Western Parkway,Vancouver,V6T 1V6,604-225-5220,604-225-5224
194,Champlain Square,#110 - 3150 East 54 Ave,Vancouver,V5S 1Z1,604-660-1277,604-660-1290
195,Whistler Creekside,#205 - 2071 Lake Placid Rd.,Whistler,V0N 1B2,604-905-4927,604-905-3946
196,Esplanade,100 - 132 West Esplanade,North Vancouver,V7M 1A2,604 981-0031,604 981-0032
201,Clinton,PO Box 280 1421 Cariboo Hwy,Clinton,V0K 1K0,250-459-2444,250-459-2448
202,Nakusp,PO Box 689 87 - 5th Ave W,Nakusp,V0G 1R0,250-265-3654,250-265-4415
203,South Burnaby,16 - 4429 Kingsway,Burnaby,V5H 2A1,604-660-5486,604-436-9462
204,Ganges,#1107-115 Fulford Ganges Rd,Salt Spring Island,V8K 2T9,250-537-5441,250-537-5225
205,Port Moody,#101 - 130 Brew Street,Port Moody,V3H 0E4,604-933-2094,604-933-2096
206,Chemainus,PO Box 209 2592 Legion St,Chemainus,V0R 1K0,250-246-3531,250-246-9587
207,Salmo,PO Box 520 115 Main St,Salmo,V0G 1Z0,250-357-9351,250-357-2568
208,Squamish,40204 Glenalder Place,Squamish,V8B 0G2,604-892-3955,604-892-9637
210,Kerrisdale,2058 W 41st Ave,Vancouver,V6M 1Y8,604-266-6922,604-266-4367
211,Queen Charlotte,PO Box 66 115 Oceanview Drive,Queen Charlotte City,V0T 1S0,250-559-4726,250-559-4796
212,Dawson Creek,1020 Alaska Ave,Dawson Creek,V1G 1Y6,250-784-2248,250-782-5521
213,Kitimat,550 Mountainview Sq,Kitimat,V8C 2N2,250-632-6616,250-632-3892
214,Lumby,PO Box 246 2080 Vernon St,Lumby,V0E 2G0,250-547-2322,250-547-9674
215,Armstrong,Box 478 3495 Smith Drive,Armstrong,V0E 1B0,250-546-9476,250-546-9746
216,Ucluelet,PO Box 130 234 Main St,Ucluelet,V0R 3A0,250-726-4411,250-726-2213
217,North Burnaby,4450 E Hastings St,Burnaby,V5C 2K2,604-660-7366,604-291-2740
218,Fort Street,1960 Foul Bay Rd,Victoria,V8R 5A7,250-952-4220,250-595-0768
220,HighGate Village,#235-7155 Kingsway,Burnaby,V5E 2V1,604-660-8731,604-521-3049
221,100 Mile House,PO Box 580 #2 - 575A Alder Ave,100 Mile House,V0K 2E0,250-395-5590,250-395-3446
222,Fort Nelson,PO Box 595 5107 Airport Dr,Fort Nelson,V0C 1R0,250-774-6757,250-774-4276
223,Kamloops North,#78-700 Tranquille Road,Kamloops,V2B 3H9,250-828-4113,250-828-4379
225,Alert Bay,PO Box 68 21 Maple St,Alert Bay,V0N 1A0,250-974-5450,250-974-2318
226,Chase,PO Box 250 119 Chase St,Chase,V0E 1M0,250-679-8454,250-679-8590
227,Hazelton,PO Box 274 4330 Field St.,Hazelton,V0J 1Y0,250-842-5424,250-842-6795
228,Park Royal,570 Park Royal North,West Vancouver,V7T 1A1,604-981-0011,604-981-0333
229,Sooke,9050-6660 Sooke Rd,Sooke,V9Z 0A5,250-642-3233,250-642-7835
230,Sechelt,PO Box 458 Trail Bay Shopping Ctr 5755 Cowrie St.,Sechelt,V0N 3A0,604-885-9794,604-885-4837
231,Wholesale Customer Centre (WCC),2219 Government St,Victoria,V8T 4P3,250-356-2906,250-356-0491
232,Bella Coola,"PO Box 63, 624 Cliff St",Bella Coola,V0T 1C0,250-799-5341,250-799-5437
233,Robson Street,1716 Robson Street,Vancouver,V6G 1E2,604-660-9031,604-660-9036
234,Hudson Hope,PO Box 366 10328 Gething St.,Hudson Hope,V0C 1V0,250-783-5230,250-783-9101
235,Comox,204 Port Augusta St.,Comox,V9M 3N1,250-339-3812,250-339-3895
236,Port Hardy,PO Box 338 8775 Granville St,Port Hardy,V0N 2P0,250-949-6636,250-949-8776
237,28th & Main,4423 Main St.,Vancouver,V5V 3R2,604-660-6678,604-660-6680
238,Chetwynd,PO Box 450 49th Ave W,Chetwynd,V0C 1J0,250-788-2657,250-788-9412
240,Guildford,1720 Guildford Town Ctr,Surrey,V3R 7B7,604-581-1511,604-581-8527
241,Nordel Crossing,Unit 116 - 12080 Nordel Way,Surrey,V3W 1P6,604-501-3201,604-591-1589
242,Saanich,1087 McKenzie Ave,Victoria,V8P 2L5,250-952-4001,250-727-6894
243,Nanaimo Terminal Park,1533 Estevan Rd,Nanaimo,V9S 3Y3,250-741-5560,250-741-5584
244,Richmond Seafair,#10 - 8671 No. 1 Rd,Richmond,V7C 1V2,604-277-4216,604-277-1362
245,Radium,PO Box 68 #7531 Highway 95,Radium,V0A 1M0,250-347-9536,250-347-9591
247,Lynn Valley,#15 - 1199 Lynn Valley Rd,North Vancouver,V7J 3H2,604-981-0014,604-981-0016
248,Fort St James,PO Box 160 161 Stuart Drive West,Fort St James,V0J 1P0,250-996-8414,250-996-8762
300,Broadway & Lillooet,3150 E Broadway,Vancouver,V5M 1Z6,604-660-0604,604-252-3489
302,Whistler Village,4211 Village Square,Whistler,V0N 1B4,604-932-5050,604-932-4827
